fips,state,name,pop2000,pop2010,pop2011,pop2012,pop2013,pop2014,pop2015,pop2016,pop2017,age_under_5_2010,age_under_5_2017,age_under_18_2010,age_over_65_2010,age_over_65_2017,median_age_2017,female_2010,white_2010,black_2010,black_2017,native_2010,native_2017,asian_2010,asian_2017,pac_isl_2010,pac_isl_2017,other_single_race_2017,two_plus_races_2010,two_plus_races_2017,hispanic_2010,hispanic_2017,white_not_hispanic_2010,white_not_hispanic_2017,speak_english_only_2017,no_move_in_one_plus_year_2010,foreign_born_2010,foreign_spoken_at_home_2010,women_16_to_50_birth_rate_2017,hs_grad_2010,hs_grad_2016,hs_grad_2017,some_college_2016,some_college_2017,bachelors_2010,bachelors_2016,bachelors_2017,veterans_2010,veterans_2017,mean_work_travel_2010,mean_work_travel_2017,broadband_2017,computer_2017,housing_units_2010,homeownership_2010,housing_multi_unit_2010,median_val_owner_occupied_2010,households_2010,households_2017,persons_per_household_2010,persons_per_household_2017,per_capita_income_2010,per_capita_income_2017,metro_2013,median_household_income_2010,median_household_income_2016,median_household_income_2017,private_nonfarm_establishments_2009,private_nonfarm_employment_2009,percent_change_private_nonfarm_employment_2009,nonemployment_establishments_2009,firms_2007,black_owned_firms_2007,native_owned_firms_2007,asian_owned_firms_2007,pac_isl_owned_firms_2007,hispanic_owned_firms_2007,women_owned_firms_2007,manufacturer_shipments_2007,mercent_whole_sales_2007,sales_2007,sales_per_capita_2007,accommodation_food_service_2007,building_permits_2010,fed_spending_2009,area_2010,density_2010,smoking_ban_2010,poverty_2010,poverty_2016,poverty_2017,poverty_age_under_5_2017,poverty_age_under_18_2017,civilian_labor_force_2007,employed_2007,unemployed_2007,unemployment_rate_2007,civilian_labor_force_2008,employed_2008,unemployed_2008,unemployment_rate_2008,civilian_labor_force_2009,employed_2009,unemployed_2009,unemployment_rate_2009,civilian_labor_force_2010,employed_2010,unemployed_2010,unemployment_rate_2010,civilian_labor_force_2011,employed_2011,unemployed_2011,unemployment_rate_2011,civilian_labor_force_2012,employed_2012,unemployed_2012,unemployment_rate_2012,civilian_labor_force_2013,employed_2013,unemployed_2013,unemployment_rate_2013,civilian_labor_force_2014,employed_2014,unemployed_2014,unemployment_rate_2014,civilian_labor_force_2015,employed_2015,unemployed_2015,unemployment_rate_2015,civilian_labor_force_2016,employed_2016,unemployed_2016,unemployment_rate_2016,uninsured_2017,uninsured_age_under_6_2017,uninsured_age_under_19_2017,uninsured_age_over_74_2017,civilian_labor_force_2017,employed_2017,unemployed_2017,unemployment_rate_2017,age_over_18_2019,age_over_65_2019,age_over_85_2019,age_under_5_2019,asian_2019,avg_family_size_2019,bachelors_2019,black_2019,hispanic_2019,household_has_broadband_2019,household_has_computer_2019,household_has_smartphone_2019,households_2019,households_speak_asian_or_pac_isl_2019,households_speak_limited_english_2019,households_speak_other_2019,households_speak_other_indo_euro_lang_2019,households_speak_spanish_2019,housing_mobile_homes_2019,housing_one_unit_structures_2019,housing_two_unit_structures_2019,hs_grad_2019,mean_household_income_2019,mean_work_travel_2019,median_age_2019,median_household_income_2019,median_individual_income_2019,median_individual_income_age_25plus_2019,native_2019,other_single_race_2019,pac_isl_2019,per_capita_income_2019,persons_per_household_2019,pop_2019,poverty_2019,poverty_65_and_over_2019,poverty_under_18_2019,two_plus_races_2019,unemployment_rate_2019,uninsured_2019,uninsured_65_and_older_2019,uninsured_under_19_2019,uninsured_under_6_2019,veterans_2019,white_2019,white_not_hispanic_2019
42001,Pennsylvania,Adams County,91292,101407,101460,101228,101059,101231,101637,101684,102336,5.5,5,22.1,15.7,18.6,43.3,50.8,93.7,1.5,0.72,0.2,0.03,0.7,0.36,NA,0,1.59,1.3,1.12,6,6.78,90.6,89.49,93.7,86.5,4,6.3,4.8,84.7,87.9,88.6,24.1,24.9,18.5,21.9,22.1,9489,9.9,27.2,27.6,76.5,86.1,40820,77.8,9.8,200700,38331,38818,2.53,2.51,25606,30490.84,1,56529,59645,62661,1979,28698,1,6255,8687,NA,NA,NA,NA,0.6,NA,2498302,NA,832377,8222,160108,306,694554,518.67,195.5,comprehensive,7.6,9.4,8.8,18.7,13.5,55892,54028,1864,3.34,56402,53970,2432,4.31,54978,50893,4085,7.43,54589,50374,4215,7.72,54083,50471,3612,6.68,54755,51251,3504,6.4,55378,52135,3243,5.86,55132,52601,2531,4.59,54988,52677,2311,4.2,55412,53213,2199,3.97,6.6,5.2,5,0.4,55457,53419,2038,3.67,79.7,19.8,2.5,5.1,0.7,2.97,22.3,1.4,7.1,81,76.9,72.3,39345,0.4,1.4,0,1.3,4.9,22,6.9,78,88.8,80678,NA,43.9,67253,30935,40142,0.1,2.7,0,31590,2.5,102470,7.8,5.8,11.7,2.3,3.1,5.6,0.2,5.1,6.9,9.5,92.7,89
42003,Pennsylvania,Allegheny County,1281666,1223348,1227767,1230870,1233892,1233480,1230052,1227553,1223048,5.2,5.3,19.8,16.8,17.7,40.9,52.1,81.5,13.2,6.46,0.1,0.06,2.8,1.77,0,0.01,0.2,1.8,1.33,1.6,1.96,80.6,79.05,92.7,86.6,4.6,6.8,5.3,91.6,93.9,94.1,25.9,25.7,34.1,39.1,40,104387,8,25.2,26.7,79,86.1,589201,67,27.3,115200,522703,536439,2.27,2.23,29549,35661.43,1,47961,56099,56333,33360,669057,-3.2,69333,95698,5.2,0.2,3.1,NA,1,27.6,15725247,18141618,20075411,16456,2540334,1424,17220254,730.08,1675.6,partial,12.3,11.5,12.5,17.9,16.6,633672,607439,26233,4.14,643395,612419,30976,4.81,639381,595899,43482,6.8,636080,587878,48202,7.58,643084,597429,45655,7.1,653215,607810,45405,6.95,651455,608833,42622,6.54,646617,611956,34661,5.36,647492,615407,32085,4.96,647671,614123,33548,5.18,5.2,2.3,2.4,0.1,645906,615193,30713,4.76,81.2,18.5,3,5.3,3.7,2.89,41.6,12.9,2.1,83.9,77.9,76.8,541541,2.1,1.3,0.7,4,1.9,35.7,0.6,64.3,94.6,86258,27.2,40.8,61043,33363,44465,0.1,0.5,0,38709,2.19,1221744,11.6,8.4,15.3,
42005,Pennsylvania,Armstrong County,72392,68941,68484,68069,67856,67419,66638,66132,65642,5.2,5,20.6,18.4,20.4,46,50.7,98,0.8,0.48,0.1,0.01,0.2,0.12,NA,0,0.04,0.8,0.43,0.5,0.71,97.7,97.25,98.3,91.2,0.8,1.8,5.1,87.7,89.1,89.3,24.8,25.5,13.9,15.5,15.2,6868,10.2,27.7,29.7,71.8,79.8,32520,76.4,10.2,89100,28814,28242,2.37,2.34,21828,25673.08,1,42752,46968,47527,1298,13338,-20,3221,4908,NA,NA,NA,NA,NA,25.5,370895,NA,532139,7734,39542,60,698238,653.2,105.5,none,11.7,13.8,13,25.8,19.8,32834,31192,1642,5,33403,31430,1973,5.91,33102,30082,3020,9.12,33637,30578,3059,9.09,33635,30875,2760,8.21,33903,31181,2722,8.03,33613,31035,2578,7.67,33153,31015,2138,6.45,33025,30832,2193,6.64,33101,30619,2482,7.5,5.9,3.3,3.3,0.2,32676,30667,2009,6.15,80.8,21.6,2.8,4.9,0.3,2.83,16.7,0.8,0.8,74.9,71.5,66.3,28137,0.3,0.3,0,2.1,0.7,24,9.3,76,90.3,64440,NA,46.6,51410,27409,36285,0,0.1,0,27715,2.31,65867,11.1,9.3,15.4,1.1,5.3,4.2,0.1,3.5,5.4,9.9,97.7,97.1
42007,Pennsylvania,Beaver County,181412,170539,170318,170095,169832,169185,168526,167123,166140,5.3,5.2,20.5,18.6,20,44.9,51.8,91.2,6.3,2.98,0.1,0.04,0.4,0.24,NA,0.02,0.19,1.7,1.23,1.2,1.48,90.4,89.68,97.3,89.4,1.9,4.5,4.7,89.6,91.9,92.7,29.4,29.9,19.2,23.4,24,17135,9.7,24.8,25.6,76.1,82.6,78211,75.2,17.3,112400,70350,70384,2.38,2.35,24168,29081.7,1,46190,54715,53981,3433,47878,-3.4,8361,11685,3,NA,NA,NA,NA,26.5,4708830,1180098,1555258,8989,156309,337,1541327,434.71,392.3,none,11.1,9.7,10.8,16.8,15.6,88933,84904,4029,4.53,90548,85593,4955,5.47,89935,82665,7270,8.08,85609,78261,7348,8.58,85921,79210,6711,7.81,86889,80346,6543,7.53,86545,80291,6254,7.23,85927,80357,5570,6.48,85780,80594,5186,6.05,85343,80061,5282,6.19,5.1,1.8,1.8,0.1,84912,80204,4708,5.54,80.6,20.9,3,5.1,0.5,2.86,24.7,5.8,1.6,80.8,73.4,72.9,71167,0.4,0.5,0.2,2.3,1.6,26.9,3.9,73.1,93.1,72337,NA,45.1,57807,30666,40535,0.1,0.4,0.1,31305,2.29,165833,11,7.2,17.3,2.8,4.7,3.8,0.1,1.1,0.5,9.2,90.4,89.5
42009,Pennsylvania,Bedford County,49984,49762,49615,49580,49348,49186,48789,48652,48480,5.3,4.9,21.6,19,21.5,45.9,50.4,98,0.5,0.22,0.2,0.06,0.2,0.12,NA,0,0.14,0.8,0.64,0.9,1.14,97.5,96.89,97.4,91.2,0.6,2.3,6.2,83.9,86.7,87,22.1,21.6,12.5,13.8,13.8,4722,9.7,26.9,27.2,69,76.7,23954,79.7,7.9,112800,19913,19666,2.49,2.46,20545,23947.15,0,40249,44834,48703,1098,13043,-12,3279,4459,NA,NA,NA,NA,NA,NA,728654,295488,581577,11712,70289,108,407092,1012.3,49.2,none,13.5,13.7,13.6,22.2,18.6,23545,22215,1330,5.65,24468,22801,1667,6.81,24282,21639,2643,10.88,25366,22810,2556,10.08,24974,22705,2269,9.09,25078,22915,2163,8.63,24715,22645,2070,8.38,24263,22659,1604,6.61,24125,22660,1465,6.07,24058,22650,1408,5.85,7.8,6.3,6.1,0.5,23757,22527,1230,5.18,80.3,22.2,3.1,4.8,0.4,2.95,14.7,0.6,1.2,73.4,67,60.4,19882,0.2,0.4,0.1,1.8,1.2,20.9,13.8,79.1,87.9,62121,NA,46.5,50509,26133,32393,0.1,0.2,0,26078,2.41,48337,11.9,9.4,14.5,1,4.1,6.8,0.6,6,7,8.9,97.6,96.7
42011,Pennsylvania,Berks County,373638,411442,412857,413522,414011,414642,415261,415732,417854,6.1,5.9,23.9,14.5,16.3,39.9,50.9,83.2,4.9,2.54,0.3,0.44,1.3,0.7,0,0.01,2.04,2.5,2.86,16.4,19.59,76.9,73.23,81.7,85.1,6.5,16.2,5.7,83.1,85.5,86,23.8,24.4,21.7,23.6,23.9,32200,7.6,23.6,24.9,78.6,85.5,164827,73.1,18.4,170400,153307,153876,2.56,2.61,25518,29214.56,1,53470,59205,59580,8413,144462,-3,23035,30325,3.4,NA,1.7,NA,5.5,27.3,8461848,4417612,4953210,12307,445993,415,2542863,856.51,480.4,partial,12.4,13.1,13.6,22.1,21,203068,194447,8621,4.25,206505,195467,11038,5.35,203891,186095,17796,8.73,210144,191914,18230,8.68,210158,193585,16573,7.89,211794,195561,16233,7.66,211343,196271,15072,7.13,211004,199415,11589,5.49,212498,202014,10484,4.93,213262,202663,10599,4.97,7.6,4.7,5.4,0.4,212082,202309,9773,4.61,77.5,16.9,2.3,5.8,1.4,3.13,24.9,5.4,21,82.6,75.2,75.9,154712,0.9,4.7,0.5,3.3,15.3,28.5,3.1,71.5,86.7,82739,25.2,39.9,63728,30695,41313,0.6,5.6,0,31571,2.62,418025,12,8,18.7,4.6,5.3,6,0.5,4.6,4
42013,Pennsylvania,Blair County,129144,127089,126989,126593,125977,125502,124818,123927,123457,5.7,5.5,21.1,17.7,19.4,43.1,51.4,96.2,1.7,0.75,0.1,0.01,0.6,0.35,NA,0.02,0.17,1.2,0.86,1,1.18,95.6,94.81,97.7,87.5,1,2.7,5.2,89.7,90.6,90.7,23,24.2,17.3,19.5,20.3,13064,10.6,19.6,20.1,72.3,80.1,56276,73,17.6,97400,51651,51638,2.39,2.35,22880,25580,1,42363,44197,45664,3220,49683,-4.2,6059,8728,NA,NA,NA,NA,NA,27.3,1931222,1511209,2038719,16182,178855,159,1281672,525.8,241.7,partial,12.9,13.6,15.2,27.2,21.3,65094,62365,2729,4.19,65574,62177,3397,5.18,65096,60447,4649,7.14,61779,56831,4948,8.01,61523,57040,4483,7.29,61847,57248,4599,7.44,61529,57239,4290,6.97,60948,57452,3496,5.74,60989,57845,3144,5.16,60866,57654,3212,5.28,6.2,3.1,3.5,0.3,60219,57300,2919,4.85,79.6,20.3,2.9,5.3,0.6,2.85,21.3,1.7,1.3,78.4,71.8,69.5,52126,0.4,0.4,0,1.9,0.6,30.2,6.8,69.8,91.4,65290,NA,43.4,49181,27166,35737,0.1,0.3,0,28119,2.3,123157,14.7,9.2,20.5,1.7,3.9,4.8,0.5,3.4,3.9,9.3,95.5,94.6
42015,Pennsylvania,Bradford County,62761,62622,63068,62969,62475,61876,61539,60986,60853,6,5.9,22.7,17.8,19.9,44.4,50.8,97.5,0.5,0.29,0.2,0.03,0.5,0.3,NA,0.01,0.21,1,0.67,1.1,1.43,96.7,96.09,97.8,88.9,1.2,2.5,5.8,85.4,88.89999999999999,89.1,22.9,23.7,15.7,17.7,18,6258,12,22.7,22.5,73.8,82.4,29979,74.8,11.8,101700,24861,24851,2.48,2.44,20979,27059.02,0,40543,50567,50900,1341,17314,-8.3,3661,5145,NA,NA,NA,NA,NA,22.8,1772445,NA,727813,11864,48780,175,472717,1147.4,54.6,partial,13.6,11.5,12.2,17.8,18.1,30827,29368,1459,4.73,31147,29509,1638,5.26,31343,28724,2619,8.36,30819,28590,2229,7.23,32015,29942,2073,6.48,32637,30393,2244,6.88,31861,29538,2323,7.29,31627,29908,1719,5.44,31366,29509,1857,5.92,30182,28210,1972,6.53,7.8,6,6.4,0.2,29363,27854,1509,5.14,78,20.8,3.1,6,0.7,2.91,18.7,0.6,1.5,79.3,72.9,65.2,25021,0.7,0.3,0.3,1.6,1.4,26,13.6,74,90.1,68533,23.1,44.5,52358,27407,36363,0,0.5,0.2,28392,2.41,60963,12.7,9.6,18.9,1.3,4.5,6.7,0.4,5.6,5.4,11.7,96.7,95.7
42017,Pennsylvania,Bucks County,597635,625249,626067,625572,625321,625806,626209,626751,628341,5.5,4.9,23,14.6,17.1,43.6,51,89.2,3.6,1.98,0.2,0.09,3.8,2.3,NA,0,0.52,1.7,0.9,4.3,5.01,86.9,84.82,88.4,92.5,8.1,10.5,4.9,91.9,93.6,93.7,25,25,34.5,38.4,39.4,44252,7.1,28.1,29.8,86.4,90.8,245956,78.5,19.3,321500,229552,235909,2.65,2.61,35687,41704.21,1,74828,80132,82031,18943,248606,0.4,47742,65114,1.5,NA,3.5,NA,2,24.9,9316305,9859583,13089805,21067,970247,474,3833253,604.31,1034.7,partial,4.9,6.6,6.1,8.7,7.3,347367,334141,13226,3.81,353465,336821,16644,4.71,343918,318801,25117,7.3,337143,311416,25727,7.63,336338,311776,24562,7.3,338741,314424,24317,7.18,337185,314947,22238,6.6,335296,317708,17588,5.25,337571,321809,15762,4.67,340936,325193,15743,4.62,4.8,1.6,2.7,0.4,341433,326960,14473,4.24,79.4,18.1,2.4,4.8,4.8,3.1,41.3,4,5.3,88.9,85.6,81.9,238830,2.3,2.6,0.6,7.1,4.2,23,1.8,77,93.9,118035,30.8,43.9,89139,40466,52898,0.2,1.3,0,45849,2.58,626806,5.9,5.6,7.2,2,3.9,4,0.4,2.2,1.8,6.8,87.6,84.1
42019,Pennsylvania,Butler County,174083,183862,184611,184854,185015,185701,185891,186207,187108,5.4,5.1,22.4,15.1,17.3,43.1,50.8,96.6,1.1,0.47,0.1,0.03,1,0.58,NA,0.02,0.1,0.9,0.75,1.1,1.39,95.9,95.01,97,88.3,1.7,3.4,4.7,91.9,93.5,94.1,26,26.1,28.8,33.3,34.6,16573,9.5,26.3,26.8,81.3,87.4,78167,77,14,159000,71911,75596,2.48,2.38,28446,36026.47,1,56878,66277,66037,4643,74304,17.3,11146,15493,NA,NA,NA,NA,0.6,27.3,5361964,2580221,2527258,13849,269549,523,1544588,788.6,233.1,comprehensive,8.3,7.3,8.4,11.1,9.4,96948,93055,3893,4.02,99234,94635,4599,4.63,99691,92726,6965,6.99,95779,88723,7056,7.37,96647,90202,6445,6.67,97980,91687,6293,6.42,97875,91851,6024,6.15,97441,92512,4929,5.06,98098,93467,4631,4.72,98638,93646,4992,5.06,4.3,1.2,2,0,98326,93801,4525,4.6,79.8,18.2,2.7,5.1,1.2,2.89,36,1,1.5,84.7,80,75.5,76502,1.1,0.5,0.1,2,1.5,24.1,8.1,75.9,94.9,92027,NA,43.3,70668,34235,46486,0,0.2,0,37811,2.37,186899,8.2,5.7,9.3,1.7,3.5,3.2,0,1.1,1.3,8.8,95.8,94.7
